FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;14;;;
180102;0000;10;;;
180103;0000;8;;;
180104;0000;14;;;
180105;0000;13;;;
180106;0000;16;;;
180107;0000;13;;;
180108;0000;15;;;
180109;0000;18;;;
180110;0000;25;;;
180111;0000;25;;;
180112;0000;22;;;
180113;0000;29;;;
180114;0000;23;;;
180115;0000;32;;;
180116;0000;26;;;
180117;0000;18;;;
180118;0000;25;;;
180119;0000;29;;;
180120;0000;20;;;
180121;0000;22;;;
180122;0000;28;;;
180123;0000;26;;;
180124;0000;32;;;
180125;0000;32;;;
180126;0000;25;;;
180127;0000;20;;;
180128;0000;22;;;
180129;0000;26;;;
180130;0000;20;;;
180131;0000;43;;;
180201;0000;64;;;
180202;0000;29;;;
180203;0000;20;;;
180204;0000;18;;;
180205;0000;28;;;
180206;0000;19;;;
180207;0000;23;;;
180208;0000;23;;;
180209;0000;26;;;
180210;0000;28;;;
180211;0000;23;;;
180212;0000;30;;;
180213;0000;29;;;
180214;0000;26;;;
180215;0000;23;;;
180216;0000;20;;;
180217;0000;18;;;
180218;0000;22;;;
180219;0000;21;;;
180220;0000;17;;;
180221;0000;22;;;
180222;0000;20;;;
180223;0000;16;;;
180224;0000;20;;;
180225;0000;16;;;
180226;0000;17;;;
180227;0000;28;;;
180228;0000;25;;;
180301;0000;27;;;
180302;0000;28;;;
180303;0000;25;;;
180304;0000;17;;;
180305;0000;25;;;
180306;0000;;50;;
180307;0000;32;;;
180308;0000;;45;;
180309;0000;22;;;
180310;0000;21;;;
180311;0000;18;;;
180312;0000;23;;;
180313;0000;28;;;
180314;0000;28;;;
180315;0000;39;;;
180316;0000;26;;;
180317;0000;21;;;
180318;0000;34;;;
180319;0000;33;;;
180320;0000;25;;;
180321;0000;27;;;
180322;0000;19;;;
180323;0000;24;;;
180324;0000;26;;;
180325;0000;29;;;
180326;0000;29;;;
180327;0000;27;;;
180328;0000;33;;;
180329;0000;19;;;
180330;0000;23;;;
180331;0000;22;;;
180401;0000;22;;;
180402;0000;35;;;
180403;0000;29;;;
180404;0000;33;;;
180405;0000;40;;;
180406;0000;53;;;
180407;0000;69;;;
180408;0000;53;;;
180409;0000;25;;;
180410;0000;18;;;
180411;0000;51;;;
180412;0000;33;;;
180413;0000;47;;;
180414;0000;70;;;
180415;0000;54;;;
180416;0000;54;;;
180417;0000;55;;;
180418;0000;68;;;
180419;0000;63;;;
180420;0000;40;;;
180421;0000;34;;;
180422;0000;42;;;
180423;0000;81;;;
180424;0000;64;;;
180425;0000;56;;;
180426;0000;38;;;
180427;0000;58;;;
180428;0000;80;;;
180429;0000;;;;
180430;0000;74;;;
180501;0000;29;;;
180502;0000;28;;;
180503;0000;46;;;
180504;0000;105;;;
180505;0000;72;;;
180506;0000;88;;;
180507;0000;77;;;
180508;0000;32;;;
180509;0000;42;;;
180510;0000;71;;;
180511;0000;98;;;
180512;0000;78;;;
180513;0000;20;;;
180514;0000;37;;;
180515;0000;86;;;
180516;0000;62;;;
180517;0000;33;;;
180518;0000;83;;;
180519;0000;74;;;
180520;0000;81;;;
180521;0000;157;;;
180522;0000;204;;;
180523;0000;225;;;
180524;0000;143;;;
180525;0000;87;;;
180526;0000;45;;;
180527;0000;46;;;
180528;0000;33;;;
180529;0000;75;;;
180530;0000;80;;;
180531;0000;111;;;
180601;0000;97;;;
180602;0000;168;;;
180603;0000;120;;;
180604;0000;109;;;
180605;0000;54;;;
180606;0000;134;;;
180607;0000;87;;;
180608;0000;67;;;
180609;0000;39;;;
180610;0000;44;;;
180611;0000;82;;;
180612;0000;122;;;
180613;0000;126;;;
180614;0000;66;;;
180615;0000;81;;;
180616;0000;201;;;
180617;0000;75;;;
180618;0000;102;;;
180619;0000;87;;;
180620;0000;53;;;
180621;0000;57;;;
180622;0000;53;;;
180623;0000;100;;;
180624;0000;106;;;
180625;0000;26;;;
180626;0000;27;;;
180627;0000;67;;;
180628;0000;82;;;
180629;0000;36;;;
180630;0000;34;;;
180701;0000;83;;;
180702;0000;81;;;
180703;0000;89;;;
180704;0000;11;;;
180705;0000;14;;;
180706;0000;28;;;
180707;0000;110;;;
180708;0000;115;;;
180709;0000;119;;;
180710;0000;84;;;
180711;0000;110;;;
180712;0000;53;;;
180713;0000;18;;;
180714;0000;34;;;
180715;0000;106;;;
180716;0000;74;;;
180717;0000;49;;;
180718;0000;78;;;
180719;0000;104;;;
180720;0000;75;;;
180721;0000;56;;;
180722;0000;93;;;
180723;0000;116;;;
180724;0000;126;;;
180725;0000;199;;;
180726;0000;139;;;
180727;0000;109;;;
180728;0000;86;;;
180729;0000;43;;;
180730;0000;83;;;
180731;0000;130;;;
180801;0000;174;;;
180802;0000;52;;;
180803;0000;49;;;
180804;0000;33;;;
180805;0000;18;;;
180806;0000;15;;;
180807;0000;66;;;
180808;0000;151;;;
180809;0000;168;;;
180810;0000;137;;;
180811;0000;73;;;
180812;0000;42;;;
180813;0000;63;;;
180814;0000;69;;;
180815;0000;103;;;
180816;0000;77;;;
180817;0000;29;;;
180818;0000;107;;;
180819;0000;119;;;
180820;0000;120;;;
180821;0000;66;;;
180822;0000;35;;;
180823;0000;32;;;
180824;0000;51;;;
180825;0000;62;;;
180826;0000;37;;;
180827;0000;68;;;
180828;0000;39;;;
180829;0000;32;;;
180830;0000;114;;;
180831;0000;72;;;
180901;0000;49;;;
180902;0000;42;;;
180903;0000;48;;;
180904;0000;56;;;
180905;0000;40;;;
180906;0000;75;;;
180907;0000;89;;;
180908;0000;85;;;
180909;0000;51;;;
180910;0000;59;;;
180911;0000;41;;;
180912;0000;35;;;
180913;0000;38;;;
180914;0000;39;;;
180915;0000;64;;;
180916;0000;31;;;
180917;0000;19;;;
180918;0000;20;;;
180919;0000;17;;;
180920;0000;12;;;
180921;0000;17;;;
180922;0000;16;;;
180923;0000;33;;;
180924;0000;45;;;
180925;0000;37;;;
180926;0000;57;;;
180927;0000;17;;;
180928;0000;16;;;
180929;0000;12;;;
180930;0000;19;;;
181001;0000;40;;;
181002;0000;29;;;
181003;0000;55;;;
181004;0000;38;;;
181005;0000;49;;;
181006;0000;32;;;
181007;0000;28;;;
181008;0000;17;;;
181009;0000;41;;;
181010;0000;41;;;
181011;0000;24;;;
181012;0000;52;;;
181013;0000;49;;;
181014;0000;27;;;
181015;0000;18;;;
181016;0000;17;;;
181017;0000;17;;;
181018;0000;20;;;
181019;0000;22;;;
181020;0000;24;;;
181021;0000;31;;;
181022;0000;36;;;
181023;0000;37;;;
181024;0000;29;;;
181025;0000;36;;;
181026;0000;24;;;
181027;0000;17;;;
181028;0000;16;;;
181029;0000;14;;;
181030;0000;20;;;
181031;0000;27;;;
181101;0000;24;;;
181102;0000;17;;;
181103;0000;18;;;
181104;0000;16;;;
181105;0000;30;;;
181106;0000;31;;;
181107;0000;31;;;
181108;0000;28;;;
181109;0000;20;;;
181110;0000;18;;;
181111;0000;22;;;
181112;0000;22;;;
181113;0000;22;;;
181114;0000;16;;;
181115;0000;19;;;
181116;0000;28;;;
181117;0000;19;;;
181118;0000;20;;;
181119;0000;22;;;
181120;0000;22;;;
181121;0000;23;;;
181122;0000;19;;;
181123;0000;23;;;
181124;0000;23;;;
181125;0000;21;;;
181126;0000;22;;;
181127;0000;22;;;
181128;0000;23;;;
181129;0000;19;;;
181130;0000;21;;;
181201;0000;29;;;
181202;0000;29;;;
181203;0000;33;;;
